Replicate_Num,Training_Round,Simulation_Num,Mean_Game_Cooperation
1,0,0,0.78125
1,0,1,0.7678571343421936
1,0,2,0.6160714030265808
1,0,3,0.5535714030265808
1,0,4,0.7366071343421936
1,0,5,0.7098214030265808
1,0,6,0.6026785969734192
1,0,7,0.5848214030265808
1,0,8,0.6964285969734192
1,0,9,0.59375
1,0,10,0.8125
1,0,11,0.5223214030265808
1,0,12,0.625
1,0,13,0.5803571343421936
1,0,14,0.7901785969734192
1,0,15,0.7767857313156128
1,0,16,0.7053571343421936
1,0,17,0.5446428656578064
1,0,18,0.875
1,0,19,0.6473214030265808
1,0,20,0.6160714030265808
1,0,21,0.7544642686843872
1,0,22,0.5535714030265808
1,0,23,0.6160714030265808
1,0,24,0.75
1,0,25,0.7901785969734192
1,0,26,0.6294642686843872
1,0,27,0.7991071343421936
1,0,28,0.625
1,0,29,0.5982142686843872
1,0,30,0.6383928656578064
1,0,31,0.7321428656578064
1,0,32,0.6517857313156128
1,0,33,0.7232142686843872
1,0,34,0.7678571343421936
1,0,35,0.5178571343421936
1,0,36,0.8571428656578064
1,0,37,0.6383928656578064
1,0,38,0.6473214030265808
1,0,39,0.8125
1,0,40,0.6205357313156128
1,0,41,0.7142857313156128
1,0,42,0.7946428656578064
1,0,43,0.7008928656578064
1,0,44,0.7410714030265808
1,0,45,0.59375
1,0,46,0.875
1,0,47,0.5401785969734192
1,0,48,0.75
1,0,49,0.6116071343421936
1,0,50,0.53125
1,0,51,0.8080357313156128
1,0,52,0.5089285969734192
1,0,53,0.6294642686843872
1,0,54,0.625
1,0,55,0.7142857313156128
1,0,56,0.7053571343421936
1,0,57,0.6116071343421936
1,0,58,0.6116071343421936
1,0,59,0.7053571343421936
1,0,60,0.65625
1,0,61,0.1607142835855484
1,0,62,0.6785714030265808
1,0,63,0.6339285969734192
1,0,64,0.6696428656578064
1,0,65,0.6205357313156128
1,0,66,0.7276785969734192
1,0,67,0.6428571343421936
1,0,68,0.8080357313156128
1,0,69,0.59375
1,0,70,0.4732142984867096
1,0,71,0.6428571343421936
1,0,72,0.71875
1,0,73,0.5089285969734192
1,0,74,0.7589285969734192
1,0,75,0.6160714030265808
1,0,76,0.7857142686843872
1,0,77,0.6428571343421936
1,0,78,0.625
1,0,79,0.6964285969734192
1,0,80,0.6294642686843872
1,0,81,0.625
1,0,82,0.7991071343421936
1,0,83,0.78125
1,0,84,0.7098214030265808
1,0,85,0.6875
1,0,86,0.6607142686843872
