Episode,Mean_Game_Cooperation,Mean_Capital,Loss
1,1.0,5.684821954795292,1951.562255859375
2,1.0,5.566071919032505,1850.074462890625
3,1.0,5.766071949686323,1917.8482666015625
4,1.0,5.6950898596218655,1850.527099609375
5,1.0,5.670089951583317,1811.1378173828125
6,1.0,5.859822137015207,1881.291015625
7,1.0,5.425000412123544,1615.447265625
8,1.0,5.711161323956081,1721.5823974609375
9,1.0,5.639732471534184,1663.26953125
10,0.9955357142857143,5.7629468611308505,1660.6024169921875
11,1.0,5.628125463213239,1607.354736328125
12,1.0,5.516964554786682,1503.805419921875
13,1.0,5.750893320356097,1612.12744140625
14,0.9955357142857143,5.503125514302935,1469.07666015625
15,1.0,5.697768177304949,1558.6395263671875
16,0.9955357142857143,5.416295230388641,1305.4246826171875
17,1.0,5.563393320356097,1446.9813232421875
18,1.0,5.543303966522217,1413.7689208984375
19,1.0,5.562947068895612,1391.74658203125
20,0.9955357142857143,5.474107537950788,1319.058349609375
21,0.9955357142857143,5.582143230097635,1354.7530517578125
22,0.9955357142857143,5.700000464916229,1452.1412353515625
23,1.0,5.328571804932186,1227.9097900390625
24,0.9955357142857143,5.395536124706268,1276.4180908203125
25,1.0,5.404018146651132,1247.6173095703125
26,0.9955357142857143,5.55133980512619,1248.634765625
27,0.9955357142857143,5.356250533035824,1184.6446533203125
28,1.0,5.551339745521545,1270.0784912109375
29,1.0,5.5830361757959635,1299.412109375
30,0.9955357142857143,5.412054078919547,1146.9765625
31,1.0,5.354464641639164,1164.484130859375
32,0.9955357142857143,5.331696884972708,1081.455078125
33,1.0,5.797768269266401,1336.3118896484375
34,1.0,5.489732614585331,1180.161376953125
35,0.9910714285714286,5.496428906917572,1206.1839599609375
36,0.9955357142857143,5.371875498976026,1126.3173828125
37,1.0,5.485714827265058,1135.2735595703125
38,0.9955357142857143,5.495982527732849,1118.5074462890625
39,0.9955357142857143,5.302232606070382,1063.4072265625
40,1.0,5.576339789799282,1185.63525390625
41,0.9955357142857143,5.57455405167171,1163.3692626953125
42,1.0,5.5397325328418185,1151.0870361328125
43,1.0,5.588839641639164,1157.825439453125
44,1.0,5.652232476643154,1172.8668212890625
45,1.0,5.888393368039813,1289.3699951171875
46,1.0,5.779018376554761,1209.84619140625
47,0.9955357142857143,5.5283486757959635,1081.48779296875
48,1.0,5.383928980146136,1025.9296875
49,0.9955357142857143,5.534375446183341,1058.4906005859375
50,0.9955357142857143,5.566518315247127,1044.360595703125
51,1.0,5.6169648340770175,1127.772705078125
52,0.9955357142857143,5.711607643536159,1094.1318359375
53,1.0,5.429464638233185,1030.9700927734375
54,0.9866071428571429,5.419420301914215,944.3798828125
55,1.0,5.478571942874363,1033.15673828125
56,0.9955357142857143,5.763839730194637,1100.0921630859375
57,1.0,5.772321905408587,1123.7098388671875
58,0.9955357142857143,5.506027179104941,959.0682983398438
59,1.0,5.822321993964059,1136.7030029296875
60,0.9955357142857143,5.557143194334848,966.8853149414062
61,1.0,5.60714339358466,1032.207275390625
62,1.0,5.691518408911569,1083.4854736328125
63,1.0,5.7370540244238715,1064.5120849609375
64,0.9910714285714286,5.566964839185987,988.0252685546875
65,0.9955357142857143,5.633482592446463,971.7539672851562
66,1.0,5.701339653560093,1041.197265625
67,1.0,5.685268240315573,1018.3139038085938
68,1.0,5.589732578822544,985.0135498046875
69,1.0,5.594643371445792,992.3648681640625
70,1.0,5.812053986958095,1064.1485595703125
71,0.9955357142857143,5.71361654145377,992.8052368164062
72,1.0,5.702678986958095,1019.4119262695312
73,1.0,5.70625045469829,994.50439453125
74,1.0,5.5058040363448,912.6976928710938
75,1.0,5.502679135118212,911.4661254882812
76,1.0,5.783928990364075,1005.4130859375
77,0.9910714285714286,5.50535763161523,881.4760131835938
78,0.9955357142857143,5.588170068604605,884.5917358398438
79,1.0,5.467857573713575,876.7650146484375
80,1.0,5.537947041647775,887.1141357421875
81,1.0,5.8955362524305075,1018.7503662109375
82,1.0,5.654911092349461,923.3137817382812
83,0.9955357142857143,5.76383992603847,949.4093627929688
84,1.0,5.60133969783783,891.611572265625
85,1.0,5.824107621397291,973.8473510742188
86,1.0,5.684375524520874,891.6131591796875
87,1.0,5.901786182607923,968.2012939453125
88,1.0,5.928572118282318,973.0762939453125
89,0.9955357142857143,5.802232759339469,900.7762451171875
90,1.0,5.651786182607923,865.3116455078125
91,1.0,5.784821953092303,909.5881958007812
92,1.0,5.722768255642483,883.35107421875
93,1.0,5.81205404656274,914.6116333007812
94,1.0,6.0084828819547385,961.9188842773438
95,0.9955357142857143,5.734821864536831,818.717041015625
96,1.0,5.711607711655753,843.953125
97,0.9955357142857143,5.758036358015878,848.3794555664062
98,0.9955357142857143,5.718304021017892,828.9138793945312
99,1.0,5.705357755933489,829.8128662109375
100,1.0,5.910268434456417,890.0288696289062
101,1.0,5.765625527926853,828.3436279296875
102,1.0,5.804911196231842,837.779052734375
103,1.0,5.894196944577353,864.5281372070312
104,1.0,5.825446844100952,833.7623901367188
105,1.0,5.82678610086441,827.2111206054688
106,1.0,5.8558041368212015,830.5166015625
107,1.0,5.765625596046448,791.6234741210938
108,0.9955357142857143,5.768304143633161,781.73876953125
109,0.9955357142857143,5.821875665869031,752.9136352539062
110,1.0,5.7808040635926385,777.0474853515625
111,1.0,5.92008991752352,816.9702758789062
112,1.0,6.035268357821873,845.2008056640625
113,1.0,6.1138397966112406,872.9552612304688
114,0.9955357142857143,5.605804077216557,672.5785522460938
115,1.0,5.815625514302935,745.6638793945312
