strategy,game_id,round,coop_rate,avg_capital,high_risk_ratio,gini
static,0,1,0.800000011920929,10.319999694824219,0.0,0.014124033972620964
static,1,1,0.7799999713897705,10.312000274658203,0.0,0.013498839922249317
static,2,1,0.7799999713897705,10.311999320983887,0.0,0.012474791146814823
static,3,1,0.699999988079071,10.279999732971191,0.0,0.014023346826434135
static,4,1,0.6800000071525574,10.272000312805176,0.0,0.017087232321500778
static,5,1,0.6200000047683716,10.24799919128418,0.0,0.014176423661410809
static,6,1,0.7799999713897705,10.312000274658203,0.0,0.012350661680102348
static,7,1,0.7599999904632568,10.303999900817871,0.0,0.011863356456160545
static,8,1,0.6399999856948853,10.255999565124512,0.0,0.013993761502206326
static,9,1,0.7599999904632568,10.303999900817871,0.0,0.011941000819206238
static,10,1,0.7799999713897705,10.311999320983887,0.0,0.01199379749596119
static,11,1,0.8600000143051147,10.343999862670898,0.0,0.010270689614117146
static,12,1,0.7200000286102295,10.287999153137207,0.0,0.01290824357420206
static,13,1,0.7200000286102295,10.288000106811523,0.0,0.01163297239691019
static,14,1,0.6600000262260437,10.263999938964844,0.0,0.011161341331899166
static,15,1,0.7799999713897705,10.311999320983887,0.0,0.011264550499618053
static,16,1,0.6800000071525574,10.272000312805176,0.0,0.014548289589583874
static,17,1,0.800000011920929,10.319999694824219,0.0,0.012356591410934925
static,18,1,0.7799999713897705,10.311999320983887,0.0,0.013840189203619957
static,19,1,0.6600000262260437,10.263999938964844,0.0,0.013780206441879272
static,20,1,0.699999988079071,10.279999732971191,0.0,0.016591442748904228
static,21,1,0.6200000047683716,10.248000144958496,0.0,0.013661201111972332
static,22,1,0.7799999713897705,10.311999320983887,0.0,0.013204033486545086
static,23,1,0.7200000286102295,10.288000106811523,0.0,0.012519446201622486
static,24,1,0.6200000047683716,10.248000144958496,0.0,0.01603434793651104
static,25,1,0.6600000262260437,10.263999938964844,0.0,0.01493375189602375
static,26,1,0.8199999928474426,10.327999114990234,0.0,0.010906277224421501
static,27,1,0.7799999713897705,10.311999320983887,0.0,0.012211019173264503
static,28,1,0.5799999833106995,10.232000350952148,0.0,0.015465210191905499
static,29,1,0.7599999904632568,10.303999900817871,0.0,0.010031064040958881
static,30,1,0.6200000047683716,10.24799919128418,0.0,0.012630757875740528
static,31,1,0.7799999713897705,10.311999320983887,0.0,0.011404194869101048
static,32,1,0.7799999713897705,10.312000274658203,0.0,0.010861140675842762
static,33,1,0.8600000143051147,10.344001770019531,0.0,0.00870843231678009
static,34,1,0.7400000095367432,10.295999526977539,0.0,0.013815075159072876
static,35,1,0.6200000047683716,10.248000144958496,0.0,0.013973456807434559
static,36,1,0.7200000286102295,10.287999153137207,0.0,0.013794719241559505
static,37,1,0.7200000286102295,10.288000106811523,0.0,0.014556769281625748
static,38,1,0.6600000262260437,10.263999938964844,0.0,0.014544038102030754
static,39,1,0.7400000095367432,10.295998573303223,0.0,0.014623157680034637
static,40,1,0.7400000095367432,10.296001434326172,0.0,0.012509719468653202
static,41,1,0.7200000286102295,10.288000106811523,0.0,0.016842927783727646
static,42,1,0.8399999737739563,10.335999488830566,0.0,0.010634678415954113
static,43,1,0.6800000071525574,10.272000312805176,0.0,0.012850470840930939
static,44,1,0.6200000047683716,10.248000144958496,0.0,0.017595628276467323
static,45,1,0.7400000095367432,10.295999526977539,0.0,0.0112820565700531
static,46,1,0.7599999904632568,10.303999900817871,0.0,0.012049693614244461
static,47,1,0.800000011920929,10.320001602172852,0.0,0.009984496049582958
static,48,1,0.8399999737739563,10.3360013961792,0.0,0.009705883450806141
static,49,1,0.7200000286102295,10.287999153137207,0.0,0.015396581962704659
static,50,1,0.7200000286102295,10.288000106811523,0.0,0.01460342388600111
static,51,1,0.7400000095367432,10.295999526977539,0.0,0.012167834676802158
static,52,1,0.699999988079071,10.279999732971191,0.0,0.01125292107462883
static,53,1,0.6800000071525574,10.27199935913086,0.0,0.014610596001148224
static,54,1,0.7799999713897705,10.312000274658203,0.0,0.011512805707752705
static,55,1,0.6600000262260437,10.263999938964844,0.0,0.016929075121879578
static,56,1,0.8600000143051147,10.343999862670898,0.0,0.011693738400936127
static,57,1,0.6000000238418579,10.239999771118164,0.0,0.0149531289935112
static,58,1,0.7400000095367432,10.295999526977539,0.0,0.01266511995345354
static,59,1,0.7599999904632568,10.303999900817871,0.0,0.011972050182521343
static,60,1,0.800000011920929,10.319999694824219,0.0,0.011844964697957039
static,61,1,0.699999988079071,10.280001640319824,0.0,0.012607003562152386
static,62,1,0.6800000071525574,10.272000312805176,0.0,0.015249223448336124
static,63,1,0.800000011920929,10.319999694824219,0.0,0.012542637065052986
static,64,1,0.8199999928474426,10.32800006866455,0.0,0.01147947832942009
static,65,1,0.800000011920929,10.319999694824219,0.0,0.013038762845098972
static,66,1,0.5799999833106995,10.231999397277832,0.0,0.01615324802696705
static,67,1,0.6200000047683716,10.24799919128418,0.0,0.013520684093236923
static,68,1,0.699999988079071,10.279999732971191,0.0,0.011782105080783367
static,69,1,0.7799999713897705,10.311999320983887,0.0,0.011590385809540749
static,70,1,0.6200000047683716,10.248000144958496,0.0,0.0158782210201025
static,71,1,0.8199999928474426,10.32800006866455,0.0,0.010271112434566021
static,72,1,0.6800000071525574,10.272000312805176,0.0,0.01531153079122305
static,73,1,0.6800000071525574,10.272000312805176,0.0,0.013457945547997952
static,74,1,0.7799999713897705,10.312000274658203,0.0,0.012754078023135662
static,75,1,0.800000011920929,10.319999694824219,0.0,0.009720933623611927
static,76,1,0.7200000286102295,10.287999153137207,0.0,0.013763613998889923
static,77,1,0.7599999904632568,10.303999900817871,0.0,0.012748448178172112
static,78,1,0.6399999856948853,10.256000518798828,0.0,0.01658347062766552
static,79,1,0.7599999904632568,10.303999900817871,0.0,0.014736028388142586
static,80,1,0.6200000047683716,10.24799919128418,0.0,0.01347384974360466
static,81,1,0.6399999856948853,10.256000518798828,0.0,0.016224650666117668
static,82,1,0.699999988079071,10.279999732971191,0.0,0.014692610129714012
static,83,1,0.7400000095367432,10.295999526977539,0.0,0.013721836730837822
static,84,1,0.7799999713897705,10.312000274658203,0.0,0.01191621832549572
static,85,1,0.7599999904632568,10.303998947143555,0.0,0.011475158855319023
static,86,1,0.699999988079071,10.279999732971191,0.0,0.011797665618360043
static,87,1,0.7400000095367432,10.296001434326172,0.0,0.014032634906470776
static,88,1,0.800000011920929,10.319999694824219,0.0,0.009410855360329151
static,89,1,0.7200000286102295,10.288000106811523,0.0,0.009517890401184559
static,90,1,0.800000011920929,10.319998741149902,0.0,0.01051163300871849
static,91,1,0.699999988079071,10.279999732971191,0.0,0.015206228941679
static,92,1,0.699999988079071,10.279999732971191,0.0,0.013525297865271568
static,93,1,0.7799999713897705,10.311999320983887,0.0,0.012614433653652668
static,94,1,0.7200000286102295,10.287999153137207,0.0,0.01384137012064457
static,95,1,0.800000011920929,10.319999694824219,0.0,0.010914732702076435
static,96,1,0.6399999856948853,10.255999565124512,0.0,0.012964119203388691
static,97,1,0.8199999928474426,10.327999114990234,0.0,0.010286602191627026
static,98,1,0.7799999713897705,10.311999320983887,0.0,0.00968192983418703
static,99,1,0.6600000262260437,10.263998985290527,0.0,0.015105223283171654
static,100,1,0.6800000071525574,10.27199935913086,0.0,0.012647979892790318
static,101,1,0.699999988079071,10.279999732971191,0.0,0.009385216981172562
static,102,1,0.6800000071525574,10.27199935913086,0.0,0.013676014728844166
static,103,1,0.6399999856948853,10.255999565124512,0.0,0.011591264046728611
static,104,1,0.7400000095367432,10.295999526977539,0.0,0.01129759568721056
static,105,1,0.7400000095367432,10.296001434326172,0.0,0.012960373423993587
static,106,1,0.800000011920929,10.319999694824219,0.0,0.008666669949889183
static,107,1,0.6800000071525574,10.27199935913086,0.0,0.015856700018048286
static,108,1,0.7200000286102295,10.288000106811523,0.0,0.01623639464378357
static,109,1,0.7400000095367432,10.295999526977539,0.0,0.013752915896475315
static,110,1,0.7200000286102295,10.288000106811523,0.0,0.015707623213529587
static,111,1,0.6000000238418579,10.239999771118164,0.0,0.013968751765787601
static,112,1,0.699999988079071,10.279999732971191,0.0,0.014754865318536758
static,113,1,0.8399999737739563,10.33599853515625,0.0,0.011934987269341946
static,114,1,0.6600000262260437,10.263999938964844,0.0,0.015791114419698715
static,115,1,0.7599999904632568,10.303999900817871,0.0,0.012531057931482792
static,116,1,0.6800000071525574,10.27199935913086,0.0,0.012227419763803482
static,117,1,0.7200000286102295,10.288000106811523,0.0,0.014541215263307095
