Round,Player_ID,Action,Insolvent,Capital_Start,Neighbor_Details,Delta_Sum,Capital_End
7,3,D,NO,2.70,P0(D):Low:+0.00; P1(C):Low:+0.20; P4(C):Low:+0.20,+0.40,3.10
7,4,C,NO,0.80,P3(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,0.70
7,5,D,NO,4.10,P2(D):Low:+0.00; P4(C):Low:+0.20; P7(C):Low:+0.20,+0.40,4.50
7,6,C,NO,2.60,P2(D):Low:-0.10; P4(C):Low:+0.10; P7(C):Low:+0.10,+0.10,2.70
7,7,C,NO,0.60,P0(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,0.50
8,0,D,NO,3.60,P1(C):Low:+0.20; P3(D):Low:+0.00; P7(D):Low:+0.00,+0.20,3.80
8,1,C,NO,0.70,P0(D):Low:-0.10; P2(C):Low:+0.10; P3(D):Low:-0.10,-0.10,0.60
8,2,C,NO,2.10,P1(C):Low:+0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,+0.10,2.20
8,3,D,NO,3.10,P0(D):Low:+0.00; P1(C):Low:+0.20; P4(C):Low:+0.20,+0.40,3.50
8,4,C,NO,0.70,P3(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,0.60
8,5,D,NO,4.50,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(D):Low:+0.00,+0.40,4.90
8,6,C,NO,2.70,P2(C):Low:+0.10; P4(C):Low:+0.10; P7(D):Low:-0.10,+0.10,2.80
8,7,D,NO,0.50,P0(D):Low:+0.00; P5(D):Low:+0.00; P6(C):Low:+0.20,+0.20,0.70
9,0,D,NO,3.80,P1(D):Low:+0.00; P3(C):Low:+0.20; P7(C):Low:+0.20,+0.40,4.20
9,1,D,NO,0.60,P0(D):Low:+0.00; P2(C):Low:+0.20; P3(C):Low:+0.20,+0.40,1.00
9,2,C,NO,2.20,P1(D):Low:-0.10; P5(D):Low:-0.10; P6(D):Low:-0.10,-0.30,1.90
9,3,C,NO,3.50,P0(D):Low:-0.10; P1(D):Low:-0.10; P4(C):Low:+0.10,-0.10,3.40
9,4,C,NO,0.60,P3(C):Low:+0.10; P5(D):Low:-0.10; P6(D):Low:-0.10,-0.10,0.50
9,5,D,NO,4.90,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(C):Low:+0.20,+0.60,5.50
9,6,D,NO,2.80,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(C):Low:+0.20,+0.60,3.40
9,7,C,NO,0.70,P0(D):Low:-0.10; P5(D):Low:-0.10; P6(D):Low:-0.10,-0.30,0.40
10,0,D,NO,4.20,P1(C):Low:+0.20; P3(D):Low:+0.00; P7(D):Low:+0.00,+0.20,4.40
10,1,C,NO,1.00,P0(D):Low:-0.10; P2(C):Low:+0.10; P3(D):Low:-0.10,-0.10,0.90
10,2,C,NO,1.90,P1(C):Low:+0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,+0.10,2.00
10,3,D,NO,3.40,P0(D):Low:+0.00; P1(C):Low:+0.20; P4(C):Low:+0.20,+0.40,3.80
10,4,C,NO,0.50,P3(D):Low:-0.10; P5(D):Low:-0.10; P6(C):Low:+0.10,-0.10,0.40
10,5,D,NO,5.50,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(D):Low:+0.00,+0.40,5.90
10,6,C,NO,3.40,P2(C):Low:+0.10; P4(C):Low:+0.10; P7(D):Low:-0.10,+0.10,3.50
10,7,D,NO,0.40,P0(D):Low:+0.00; P5(D):Low:+0.00; P6(C):Low:+0.20,+0.20,0.60
11,0,D,NO,4.40,P1(D):Low:+0.00; P3(C):Low:+0.20; P7(D):Low:+0.00,+0.20,4.60
11,1,D,NO,0.90,P0(D):Low:+0.00; P2(C):Low:+0.20; P3(C):Low:+0.20,+0.40,1.30
11,2,C,NO,2.00,P1(D):Low:-0.10; P5(D):Low:-0.10; P6(D):Low:-0.10,-0.30,1.70
11,3,C,NO,3.80,P0(D):Low:-0.10; P1(D):Low:-0.10; P4(C):Low:+0.10,-0.10,3.70
11,4,C,NO,0.40,P3(C):Low:+0.10; P5(D):Low:-0.10; P6(D):Low:-0.10,-0.10,0.30
11,5,D,NO,5.90,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(D):Low:+0.00,+0.40,6.30
11,6,D,NO,3.50,P2(C):Low:+0.20; P4(C):Low:+0.20; P7(D):Low:+0.00,+0.40,3.90
11,7,D,NO,0.60,P0(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.60
12,0,D,NO,4.60,P1(C):Low:+0.20; P3(D):Low:+0.00; P7(D):Low:+0.00,+0.20,4.80
12,1,C,NO,1.30,P0(D):Low:-0.10; P2(D):Low:-0.10; P3(D):Low:-0.10,-0.30,1.00
12,2,D,NO,1.70,P1(C):Low:+0.20; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.20,1.90
12,3,D,NO,3.70,P0(D):Low:+0.00; P1(C):Low:+0.20; P4(D):Low:+0.00,+0.20,3.90
12,4,D,YES,0.30,P3(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.30
12,5,D,NO,6.30,P2(D):Low:+0.00; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.00,6.30
12,6,D,NO,3.90,P2(D):Low:+0.00; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.00,3.90
12,7,D,NO,0.60,P0(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.60
13,0,D,NO,4.80,P1(D):Low:+0.00; P3(D):Low:+0.00; P7(D):Low:+0.00,+0.00,4.80
13,1,D,NO,1.00,P0(D):Low:+0.00; P2(C):Low:+0.20; P3(D):Low:+0.00,+0.20,1.20
13,2,C,NO,1.90,P1(D):Low:-0.10; P5(D):Low:-0.10; P6(D):Low:-0.10,-0.30,1.60
13,3,D,NO,3.90,P0(D):Low:+0.00; P1(D):Low:+0.00; P4(D):Low:+0.00,+0.00,3.90
13,4,D,YES,0.30,P3(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.30
13,5,D,NO,6.30,P2(C):Low:+0.20; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.20,6.50
13,6,D,NO,3.90,P2(C):Low:+0.20; P4(D):Low:+0.00; P7(D):Low:+0.00,+0.20,4.10
13,7,D,NO,0.60,P0(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,0.60
14,0,D,NO,4.80,P1(D):Low:+0.00; P3(D):Low:+0.00; P7(D):Low:+0.00,+0.00,4.80
14,1,D,NO,1.20,P0(D):Low:+0.00; P2(D):Low:+0.00; P3(D):Low:+0.00,+0.00,1.20
14,2,D,NO,1.60,P1(D):Low:+0.00; P5(D):Low:+0.00; P6(D):Low:+0.00,+0.00,1.60
14,3,D,NO,3.90,P0(D):Low:+0.00; P1(D):Low:+0.00; P4(D):Low:+0.00,+0.00,3.90
